classType,defaultPort,serviceName,serviceDescription,entry,source
Port,108/tcp,"snagas","SNA Gateway Access Server",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,108/udp,"snagas","SNA Gateway Access Server",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,109/tcp,"pop2","Post Office Protocol - Version 2",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,109/udp,"pop2","Post Office Protocol - Version 2",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,110/tcp,"pop3","Post Office Protocol - Version 3",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,110/udp,"pop3","Post Office Protocol - Version 3",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,111/tcp,"sunrpc","SUN Remote Procedure Call",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,111/udp,"sunrpc","SUN Remote Procedure Call",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,112/tcp,"mcidas","McIDAS Data Transmission Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,112/udp,"mcidas","McIDAS Data Transmission Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,113/tcp,"auth","Authentication Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,113/udp,"auth","Authentication Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,115/tcp,"sftp","Simple File Transfer Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,115/udp,"sftp","Simple File Transfer Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,116/tcp,"ansanotify","ANSA REX Notify",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,116/udp,"ansanotify","ANSA REX Notify",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
